"Notes"	"Age of Mother Year"	"Age of Mother Year Code"	"Plurality or Multiple Birth"	"Plurality or Multiple Birth Code"	"LMP Gestational Age Weekly"	"LMP Gestational Age Weekly Code"	Births
	"25 years"	"25"	"Twin"	"2"	"40 weeks"	"40"	121
	"25 years"	"25"	"Twin"	"2"	"41 weeks"	"41"	40
	"25 years"	"25"	"Twin"	"2"	"42 weeks"	"42"	24
	"25 years"	"25"	"Twin"	"2"	"43 weeks"	"43"	18
	"25 years"	"25"	"Twin"	"2"	"44 weeks"	"44"	10
	"25 years"	"25"	"Twin"	"2"	"45 weeks"	"45"	7
	"25 years"	"25"	"Twin"	"2"	"46 weeks"	"46"	5
	"25 years"	"25"	"Twin"	"2"	"47 weeks"	"47"	2
	"25 years"	"25"	"Twin"	"2"	"Unknown or Not Stated"	"99"	1
	"25 years"	"25"	"Triplet"	"3"	"18 weeks"	"18"	2
	"25 years"	"25"	"Triplet"	"3"	"20 weeks"	"20"	3
	"25 years"	"25"	"Triplet"	"3"	"22 weeks"	"22"	3
	"25 years"	"25"	"Triplet"	"3"	"24 weeks"	"24"	3
	"25 years"	"25"	"Triplet"	"3"	"25 weeks"	"25"	3
	"25 years"	"25"	"Triplet"	"3"	"26 weeks"	"26"	3
	"25 years"	"25"	"Triplet"	"3"	"27 weeks"	"27"	6
	"25 years"	"25"	"Triplet"	"3"	"28 weeks"	"28"	6
	"25 years"	"25"	"Triplet"	"3"	"29 weeks"	"29"	6
	"25 years"	"25"	"Triplet"	"3"	"30 weeks"	"30"	9
	"25 years"	"25"	"Triplet"	"3"	"31 weeks"	"31"	6
	"25 years"	"25"	"Triplet"	"3"	"32 weeks"	"32"	15
	"25 years"	"25"	"Triplet"	"3"	"33 weeks"	"33"	3
	"25 years"	"25"	"Triplet"	"3"	"34 weeks"	"34"	18
	"25 years"	"25"	"Triplet"	"3"	"35 weeks"	"35"	7
	"25 years"	"25"	"Triplet"	"3"	"39 weeks"	"39"	4
	"25 years"	"25"	"Triplet"	"3"	"40 weeks"	"40"	1
	"25 years"	"25"	"Triplet"	"3"	"41 weeks"	"41"	3
	"25 years"	"25"	"Quadruplet"	"4"	"25 weeks"	"25"	1
	"25 years"	"25"	"Quadruplet"	"4"	"26 weeks"	"26"	3
	"25 years"	"25"	"Quadruplet"	"4"	"37 weeks"	"37"	1
	"26 years"	"26"	"Single"	"1"	"17 weeks"	"17"	19
	"26 years"	"26"	"Single"	"1"	"18 weeks"	"18"	21
	"26 years"	"26"	"Single"	"1"	"19 weeks"	"19"	24
	"26 years"	"26"	"Single"	"1"	"20 weeks"	"20"	49
	"26 years"	"26"	"Single"	"1"	"21 weeks"	"21"	63
	"26 years"	"26"	"Single"	"1"	"22 weeks"	"22"	74
	"26 years"	"26"	"Single"	"1"	"23 weeks"	"23"	87
	"26 years"	"26"	"Single"	"1"	"24 weeks"	"24"	124
	"26 years"	"26"	"Single"	"1"	"25 weeks"	"25"	149
	"26 years"	"26"	"Single"	"1"	"26 weeks"	"26"	197
	"26 years"	"26"	"Single"	"1"	"27 weeks"	"27"	200
	"26 years"	"26"	"Single"	"1"	"28 weeks"	"28"	276
	"26 years"	"26"	"Single"	"1"	"29 weeks"	"29"	321
	"26 years"	"26"	"Single"	"1"	"30 weeks"	"30"	472
	"26 years"	"26"	"Single"	"1"	"31 weeks"	"31"	595
	"26 years"	"26"	"Single"	"1"	"32 weeks"	"32"	856
	"26 years"	"26"	"Single"	"1"	"33 weeks"	"33"	1299
	"26 years"	"26"	"Single"	"1"	"34 weeks"	"34"	2393
	"26 years"	"26"	"Single"	"1"	"35 weeks"	"35"	3746
	"26 years"	"26"	"Single"	"1"	"36 weeks"	"36"	7294
	"26 years"	"26"	"Single"	"1"	"37 weeks"	"37"	17617
	"26 years"	"26"	"Single"	"1"	"38 weeks"	"38"	29877
	"26 years"	"26"	"Single"	"1"	"39 weeks"	"39"	59006
	"26 years"	"26"	"Single"	"1"	"40 weeks"	"40"	36232
	"26 years"	"26"	"Single"	"1"	"41 weeks"	"41"	14720
	"26 years"	"26"	"Single"	"1"	"42 weeks"	"42"	5019
	"26 years"	"26"	"Single"	"1"	"43 weeks"	"43"	2546
	"26 years"	"26"	"Single"	"1"	"44 weeks"	"44"	1450
	"26 years"	"26"	"Single"	"1"	"45 weeks"	"45"	776
	"26 years"	"26"	"Single"	"1"	"46 weeks"	"46"	496
	"26 years"	"26"	"Single"	"1"	"47 weeks"	"47"	338
	"26 years"	"26"	"Single"	"1"	"Unknown or Not Stated"	"99"	151
	"26 years"	"26"	"Twin"	"2"	"17 weeks"	"17"	3
	"26 years"	"26"	"Twin"	"2"	"18 weeks"	"18"	5
	"26 years"	"26"	"Twin"	"2"	"19 weeks"	"19"	4
	"26 years"	"26"	"Twin"	"2"	"20 weeks"	"20"	9
	"26 years"	"26"	"Twin"	"2"	"21 weeks"	"21"	19
	"26 years"	"26"	"Twin"	"2"	"22 weeks"	"22"	18
	"26 years"	"26"	"Twin"	"2"	"23 weeks"	"23"	17
	"26 years"	"26"	"Twin"	"2"	"24 weeks"	"24"	46
	"26 years"	"26"	"Twin"	"2"	"25 weeks"	"25"	34
	"26 years"	"26"	"Twin"	"2"	"26 weeks"	"26"	42
	"26 years"	"26"	"Twin"	"2"	"27 weeks"	"27"	42
	"26 years"	"26"	"Twin"	"2"	"28 weeks"	"28"	60
	"26 years"	"26"	"Twin"	"2"	"29 weeks"	"29"	57
	"26 years"	"26"	"Twin"	"2"	"30 weeks"	"30"	94
	"26 years"	"26"	"Twin"	"2"	"31 weeks"	"31"	82
	"26 years"	"26"	"Twin"	"2"	"32 weeks"	"32"	193
	"26 years"	"26"	"Twin"	"2"	"33 weeks"	"33"	299
	"26 years"	"26"	"Twin"	"2"	"34 weeks"	"34"	533
	"26 years"	"26"	"Twin"	"2"	"35 weeks"	"35"	668
	"26 years"	"26"	"Twin"	"2"	"36 weeks"	"36"	935
	"26 years"	"26"	"Twin"	"2"	"37 weeks"	"37"	1108
	"26 years"	"26"	"Twin"	"2"	"38 weeks"	"38"	766
	"26 years"	"26"	"Twin"	"2"	"39 weeks"	"39"	180
	"26 years"	"26"	"Twin"	"2"	"40 weeks"	"40"	122
	"26 years"	"26"	"Twin"	"2"	"41 weeks"	"41"	63
	"26 years"	"26"	"Twin"	"2"	"42 weeks"	"42"	36
	"26 years"	"26"	"Twin"	"2"	"43 weeks"	"43"	17
	"26 years"	"26"	"Twin"	"2"	"44 weeks"	"44"	12
	"26 years"	"26"	"Twin"	"2"	"45 weeks"	"45"	12
	"26 years"	"26"	"Twin"	"2"	"46 weeks"	"46"	4
	"26 years"	"26"	"Twin"	"2"	"47 weeks"	"47"	11
	"26 years"	"26"	"Twin"	"2"	"Unknown or Not Stated"	"99"	1
	"26 years"	"26"	"Triplet"	"3"	"20 weeks"	"20"	4
	"26 years"	"26"	"Triplet"	"3"	"22 weeks"	"22"	2
	"26 years"	"26"	"Triplet"	"3"	"24 weeks"	"24"	1
	"26 years"	"26"	"Triplet"	"3"	"27 weeks"	"27"	6
	"26 years"	"26"	"Triplet"	"3"	"28 weeks"	"28"	6
	"26 years"	"26"	"Triplet"	"3"	"29 weeks"	"29"	9
	"26 years"	"26"	"Triplet"	"3"	"30 weeks"	"30"	19
	"26 years"	"26"	"Triplet"	"3"	"31 weeks"	"31"	11
	"26 years"	"26"	"Triplet"	"3"	"32 weeks"	"32"	26
	"26 years"	"26"	"Triplet"	"3"	"33 weeks"	"33"	12
	"26 years"	"26"	"Triplet"	"3"	"34 weeks"	"34"	19
	"26 years"	"26"	"Triplet"	"3"	"35 weeks"	"35"	6
	"26 years"	"26"	"Triplet"	"3"	"36 weeks"	"36"	3
	"26 years"	"26"	"Triplet"	"3"	"38 weeks"	"38"	3
	"26 years"	"26"	"Quadruplet"	"4"	"30 weeks"	"30"	7
	"26 years"	"26"	"Quadruplet"	"4"	"39 weeks"	"39"	1
	"27 years"	"27"	"Single"	"1"	"17 weeks"	"17"	10
	"27 years"	"27"	"Single"	"1"	"18 weeks"	"18"	28
	"27 years"	"27"	"Single"	"1"	"19 weeks"	"19"	29
	"27 years"	"27"	"Single"	"1"	"20 weeks"	"20"	48
	"27 years"	"27"	"Single"	"1"	"21 weeks"	"21"	40
	"27 years"	"27"	"Single"	"1"	"22 weeks"	"22"	85
	"27 years"	"27"	"Single"	"1"	"23 weeks"	"23"	99
	"27 years"	"27"	"Single"	"1"	"24 weeks"	"24"	146
	"27 years"	"27"	"Single"	"1"	"25 weeks"	"25"	176
	"27 years"	"27"	"Single"	"1"	"26 weeks"	"26"	178
	"27 years"	"27"	"Single"	"1"	"27 weeks"	"27"	213
	"27 years"	"27"	"Single"	"1"	"28 weeks"	"28"	292
	"27 years"	"27"	"Single"	"1"	"29 weeks"	"29"	343
	"27 years"	"27"	"Single"	"1"	"30 weeks"	"30"	500
	"27 years"	"27"	"Single"	"1"	"31 weeks"	"31"	619
	"27 years"	"27"	"Single"	"1"	"32 weeks"	"32"	974
	"27 years"	"27"	"Single"	"1"	"33 weeks"	"33"	1346
	"27 years"	"27"	"Single"	"1"	"34 weeks"	"34"	2544
	"27 years"	"27"	"Single"	"1"	"35 weeks"	"35"	3926
	"27 years"	"27"	"Single"	"1"	"36 weeks"	"36"	7697
	"27 years"	"27"	"Single"	"1"	"37 weeks"	"37"	18873
	"27 years"	"27"	"Single"	"1"	"38 weeks"	"38"	32137
	"27 years"	"27"	"Single"	"1"	"39 weeks"	"39"	62935
	"27 years"	"27"	"Single"	"1"	"40 weeks"	"40"	38697
	"27 years"	"27"	"Single"	"1"	"41 weeks"	"41"	15815
	"27 years"	"27"	"Single"	"1"	"42 weeks"	"42"	5257
	"27 years"	"27"	"Single"	"1"	"43 weeks"	"43"	2684
	"27 years"	"27"	"Single"	"1"	"44 weeks"	"44"	1389
	"27 years"	"27"	"Single"	"1"	"45 weeks"	"45"	762
	"27 years"	"27"	"Single"	"1"	"46 weeks"	"46"	439
	"27 years"	"27"	"Single"	"1"	"47 weeks"	"47"	343
	"27 years"	"27"	"Single"	"1"	"Unknown or Not Stated"	"99"	134
	"27 years"	"27"	"Twin"	"2"	"17 weeks"	"17"	2
	"27 years"	"27"	"Twin"	"2"	"18 weeks"	"18"	8
	"27 years"	"27"	"Twin"	"2"	"19 weeks"	"19"	5
	"27 years"	"27"	"Twin"	"2"	"20 weeks"	"20"	12
	"27 years"	"27"	"Twin"	"2"	"21 weeks"	"21"	20
	"27 years"	"27"	"Twin"	"2"	"22 weeks"	"22"	18
	"27 years"	"27"	"Twin"	"2"	"23 weeks"	"23"	24
	"27 years"	"27"	"Twin"	"2"	"24 weeks"	"24"	36
	"27 years"	"27"	"Twin"	"2"	"25 weeks"	"25"	47
	"27 years"	"27"	"Twin"	"2"	"26 weeks"	"26"	44
	"27 years"	"27"	"Twin"	"2"	"27 weeks"	"27"	59
	"27 years"	"27"	"Twin"	"2"	"28 weeks"	"28"	45
	"27 years"	"27"	"Twin"	"2"	"29 weeks"	"29"	87
	"27 years"	"27"	"Twin"	"2"	"30 weeks"	"30"	104
	"27 years"	"27"	"Twin"	"2"	"31 weeks"	"31"	166
	"27 years"	"27"	"Twin"	"2"	"32 weeks"	"32"	234
	"27 years"	"27"	"Twin"	"2"	"33 weeks"	"33"	293
	"27 years"	"27"	"Twin"	"2"	"34 weeks"	"34"	554
	"27 years"	"27"	"Twin"	"2"	"35 weeks"	"35"	678
	"27 years"	"27"	"Twin"	"2"	"36 weeks"	"36"	1066
	"27 years"	"27"	"Twin"	"2"	"37 weeks"	"37"	1220
	"27 years"	"27"	"Twin"	"2"	"38 weeks"	"38"	779
	"27 years"	"27"	"Twin"	"2"	"39 weeks"	"39"	257
	"27 years"	"27"	"Twin"	"2"	"40 weeks"	"40"	111
	"27 years"	"27"	"Twin"	"2"	"41 weeks"	"41"	58
	"27 years"	"27"	"Twin"	"2"	"42 weeks"	"42"	36
	"27 years"	"27"	"Twin"	"2"	"43 weeks"	"43"	25
	"27 years"	"27"	"Twin"	"2"	"44 weeks"	"44"	18
	"27 years"	"27"	"Twin"	"2"	"45 weeks"	"45"	10
	"27 years"	"27"	"Twin"	"2"	"46 weeks"	"46"	8
	"27 years"	"27"	"Twin"	"2"	"47 weeks"	"47"	5
	"27 years"	"27"	"Twin"	"2"	"Unknown or Not Stated"	"99"	1
	"27 years"	"27"	"Triplet"	"3"	"20 weeks"	"20"	1
	"27 years"	"27"	"Triplet"	"3"	"25 weeks"	"25"	3
	"27 years"	"27"	"Triplet"	"3"	"26 weeks"	"26"	2
	"27 years"	"27"	"Triplet"	"3"	"27 weeks"	"27"	5
	"27 years"	"27"	"Triplet"	"3"	"28 weeks"	"28"	6
	"27 years"	"27"	"Triplet"	"3"	"29 weeks"	"29"	3
	"27 years"	"27"	"Triplet"	"3"	"30 weeks"	"30"	6
	"27 years"	"27"	"Triplet"	"3"	"31 weeks"	"31"	9
	"27 years"	"27"	"Triplet"	"3"	"32 weeks"	"32"	13
	"27 years"	"27"	"Triplet"	"3"	"33 weeks"	"33"	21
	"27 years"	"27"	"Triplet"	"3"	"34 weeks"	"34"	21
	"27 years"	"27"	"Triplet"	"3"	"35 weeks"	"35"	12
	"27 years"	"27"	"Triplet"	"3"	"36 weeks"	"36"	18
	"27 years"	"27"	"Triplet"	"3"	"37 weeks"	"37"	6
	"27 years"	"27"	"Triplet"	"3"	"38 weeks"	"38"	3
	"27 years"	"27"	"Triplet"	"3"	"39 weeks"	"39"	2
	"27 years"	"27"	"Triplet"	"3"	"40 weeks"	"40"	4
	"27 years"	"27"	"Triplet"	"3"	"41 weeks"	"41"	1
	"27 years"	"27"	"Triplet"	"3"	"45 weeks"	"45"	3
	"27 years"	"27"	"Quadruplet"	"4"	"31 weeks"	"31"	4
	"27 years"	"27"	"Quadruplet"	"4"	"39 weeks"	"39"	1
	"28 years"	"28"	"Single"	"1"	"17 weeks"	"17"	20
	"28 years"	"28"	"Single"	"1"	"18 weeks"	"18"	28
	"28 years"	"28"	"Single"	"1"	"19 weeks"	"19"	32
	"28 years"	"28"	"Single"	"1"	"20 weeks"	"20"	56
	"28 years"	"28"	"Single"	"1"	"21 weeks"	"21"	47
	"28 years"	"28"	"Single"	"1"	"22 weeks"	"22"	79
	"28 years"	"28"	"Single"	"1"	"23 weeks"	"23"	109
	"28 years"	"28"	"Single"	"1"	"24 weeks"	"24"	140
	"28 years"	"28"	"Single"	"1"	"25 weeks"	"25"	180
	"28 years"	"28"	"Single"	"1"	"26 weeks"	"26"	192
	"28 years"	"28"	"Single"	"1"	"27 weeks"	"27"	231
	"28 years"	"28"	"Single"	"1"	"28 weeks"	"28"	351
	"28 years"	"28"	"Single"	"1"	"29 weeks"	"29"	369
	"28 years"	"28"	"Single"	"1"	"30 weeks"	"30"	515
	"28 years"	"28"	"Single"	"1"	"31 weeks"	"31"	672
	"28 years"	"28"	"Single"	"1"	"32 weeks"	"32"	957
	"28 years"	"28"	"Single"	"1"	"33 weeks"	"33"	1486
	"28 years"	"28"	"Single"	"1"	"34 weeks"	"34"	2680
	"28 years"	"28"	"Single"	"1"	"35 weeks"	"35"	4256
	"28 years"	"28"	"Single"	"1"	"36 weeks"	"36"	7956
	"28 years"	"28"	"Single"	"1"	"37 weeks"	"37"	19772
	"28 years"	"28"	"Single"	"1"	"38 weeks"	"38"	33856
	"28 years"	"28"	"Single"	"1"	"39 weeks"	"39"	68136
	"28 years"	"28"	"Single"	"1"	"40 weeks"	"40"	41126
	"28 years"	"28"	"Single"	"1"	"41 weeks"	"41"	17173
	"28 years"	"28"	"Single"	"1"	"42 weeks"	"42"	5566
	"28 years"	"28"	"Single"	"1"	"43 weeks"	"43"	2737
	"28 years"	"28"	"Single"	"1"	"44 weeks"	"44"	1492
	"28 years"	"28"	"Single"	"1"	"45 weeks"	"45"	767
	"28 years"	"28"	"Single"	"1"	"46 weeks"	"46"	470
	"28 years"	"28"	"Single"	"1"	"47 weeks"	"47"	351
	"28 years"	"28"	"Single"	"1"	"Unknown or Not Stated"	"99"	146
	"28 years"	"28"	"Twin"	"2"	"17 weeks"	"17"	7
	"28 years"	"28"	"Twin"	"2"	"18 weeks"	"18"	5
	"28 years"	"28"	"Twin"	"2"	"19 weeks"	"19"	5
	"28 years"	"28"	"Twin"	"2"	"20 weeks"	"20"	13
	"28 years"	"28"	"Twin"	"2"	"21 weeks"	"21"	12
	"28 years"	"28"	"Twin"	"2"	"22 weeks"	"22"	13
	"28 years"	"28"	"Twin"	"2"	"23 weeks"	"23"	32
	"28 years"	"28"	"Twin"	"2"	"24 weeks"	"24"	22
	"28 years"	"28"	"Twin"	"2"	"25 weeks"	"25"	58
	"28 years"	"28"	"Twin"	"2"	"26 weeks"	"26"	43
	"28 years"	"28"	"Twin"	"2"	"27 weeks"	"27"	48
	"28 years"	"28"	"Twin"	"2"	"28 weeks"	"28"	87
	"28 years"	"28"	"Twin"	"2"	"29 weeks"	"29"	102
	"28 years"	"28"	"Twin"	"2"	"30 weeks"	"30"	116
	"28 years"	"28"	"Twin"	"2"	"31 weeks"	"31"	146
	"28 years"	"28"	"Twin"	"2"	"32 weeks"	"32"	292
	"28 years"	"28"	"Twin"	"2"	"33 weeks"	"33"	328
	"28 years"	"28"	"Twin"	"2"	"34 weeks"	"34"	644
	"28 years"	"28"	"Twin"	"2"	"35 weeks"	"35"	741
	"28 years"	"28"	"Twin"	"2"	"36 weeks"	"36"	1195
	"28 years"	"28"	"Twin"	"2"	"37 weeks"	"37"	1395
	"28 years"	"28"	"Twin"	"2"	"38 weeks"	"38"	930
	"28 years"	"28"	"Twin"	"2"	"39 weeks"	"39"	264
	"28 years"	"28"	"Twin"	"2"	"40 weeks"	"40"	119
	"28 years"	"28"	"Twin"	"2"	"41 weeks"	"41"	78
	"28 years"	"28"	"Twin"	"2"	"42 weeks"	"42"	39
	"28 years"	"28"	"Twin"	"2"	"43 weeks"	"43"	17
	"28 years"	"28"	"Twin"	"2"	"44 weeks"	"44"	12
	"28 years"	"28"	"Twin"	"2"	"45 weeks"	"45"	10
	"28 years"	"28"	"Twin"	"2"	"46 weeks"	"46"	8
	"28 years"	"28"	"Twin"	"2"	"47 weeks"	"47"	2
	"28 years"	"28"	"Twin"	"2"	"Unknown or Not Stated"	"99"	5
	"28 years"	"28"	"Triplet"	"3"	"21 weeks"	"21"	3
	"28 years"	"28"	"Triplet"	"3"	"22 weeks"	"22"	2
	"28 years"	"28"	"Triplet"	"3"	"23 weeks"	"23"	2
	"28 years"	"28"	"Triplet"	"3"	"24 weeks"	"24"	9
	"28 years"	"28"	"Triplet"	"3"	"25 weeks"	"25"	3
	"28 years"	"28"	"Triplet"	"3"	"26 weeks"	"26"	4
	"28 years"	"28"	"Triplet"	"3"	"28 weeks"	"28"	18
	"28 years"	"28"	"Triplet"	"3"	"29 weeks"	"29"	12
	"28 years"	"28"	"Triplet"	"3"	"30 weeks"	"30"	6
	"28 years"	"28"	"Triplet"	"3"	"31 weeks"	"31"	17
	"28 years"	"28"	"Triplet"	"3"	"32 weeks"	"32"	35
	"28 years"	"28"	"Triplet"	"3"	"33 weeks"	"33"	18
	"28 years"	"28"	"Triplet"	"3"	"34 weeks"	"34"	23
	"28 years"	"28"	"Triplet"	"3"	"35 weeks"	"35"	24
	"28 years"	"28"	"Triplet"	"3"	"36 weeks"	"36"	9
	"28 years"	"28"	"Triplet"	"3"	"37 weeks"	"37"	3
	"28 years"	"28"	"Triplet"	"3"	"42 weeks"	"42"	3
	"28 years"	"28"	"Quadruplet"	"4"	"24 weeks"	"24"	5
	"28 years"	"28"	"Quadruplet"	"4"	"31 weeks"	"31"	8
	"29 years"	"29"	"Single"	"1"	"17 weeks"	"17"	13
	"29 years"	"29"	"Single"	"1"	"18 weeks"	"18"	19
	"29 years"	"29"	"Single"	"1"	"19 weeks"	"19"	39
	"29 years"	"29"	"Single"	"1"	"20 weeks"	"20"	42
	"29 years"	"29"	"Single"	"1"	"21 weeks"	"21"	53
	"29 years"	"29"	"Single"	"1"	"22 weeks"	"22"	77
	"29 years"	"29"	"Single"	"1"	"23 weeks"	"23"	121
	"29 years"	"29"	"Single"	"1"	"24 weeks"	"24"	135
	"29 years"	"29"	"Single"	"1"	"25 weeks"	"25"	162
	"29 years"	"29"	"Single"	"1"	"26 weeks"	"26"	200
	"29 years"	"29"	"Single"	"1"	"27 weeks"	"27"	253
	"29 years"	"29"	"Single"	"1"	"28 weeks"	"28"	353
	"29 years"	"29"	"Single"	"1"	"29 weeks"	"29"	375
	"29 years"	"29"	"Single"	"1"	"30 weeks"	"30"	527
	"29 years"	"29"	"Single"	"1"	"31 weeks"	"31"	643
	"29 years"	"29"	"Single"	"1"	"32 weeks"	"32"	970
	"29 years"	"29"	"Single"	"1"	"33 weeks"	"33"	1484
	"29 years"	"29"	"Single"	"1"	"34 weeks"	"34"	2728
	"29 years"	"29"	"Single"	"1"	"35 weeks"	"35"	4318
	"29 years"	"29"	"Single"	"1"	"36 weeks"	"36"	8542
	"29 years"	"29"	"Single"	"1"	"37 weeks"	"37"	20900
	"29 years"	"29"	"Single"	"1"	"38 weeks"	"38"	35816
	"29 years"	"29"	"Single"	"1"	"39 weeks"	"39"	72084
	"29 years"	"29"	"Single"	"1"	"40 weeks"	"40"	43516
	"29 years"	"29"	"Single"	"1"	"41 weeks"	"41"	17693
	"29 years"	"29"	"Single"	"1"	"42 weeks"	"42"	5655
	"29 years"	"29"	"Single"	"1"	"43 weeks"	"43"	2755
	"29 years"	"29"	"Single"	"1"	"44 weeks"	"44"	1403
	"29 years"	"29"	"Single"	"1"	"45 weeks"	"45"	753
	"29 years"	"29"	"Single"	"1"	"46 weeks"	"46"	499
	"29 years"	"29"	"Single"	"1"	"47 weeks"	"47"	349
	"29 years"	"29"	"Single"	"1"	"Unknown or Not Stated"	"99"	130
	"29 years"	"29"	"Twin"	"2"	"17 weeks"	"17"	1
	"29 years"	"29"	"Twin"	"2"	"18 weeks"	"18"	2
	"29 years"	"29"	"Twin"	"2"	"19 weeks"	"19"	5
	"29 years"	"29"	"Twin"	"2"	"20 weeks"	"20"	10
	"29 years"	"29"	"Twin"	"2"	"21 weeks"	"21"	13
	"29 years"	"29"	"Twin"	"2"	"22 weeks"	"22"	11
	"29 years"	"29"	"Twin"	"2"	"23 weeks"	"23"	30
	"29 years"	"29"	"Twin"	"2"	"24 weeks"	"24"	28
	"29 years"	"29"	"Twin"	"2"	"25 weeks"	"25"	43
	"29 years"	"29"	"Twin"	"2"	"26 weeks"	"26"	65
	"29 years"	"29"	"Twin"	"2"	"27 weeks"	"27"	44
	"29 years"	"29"	"Twin"	"2"	"28 weeks"	"28"	61
	"29 years"	"29"	"Twin"	"2"	"29 weeks"	"29"	86
	"29 years"	"29"	"Twin"	"2"	"30 weeks"	"30"	125
	"29 years"	"29"	"Twin"	"2"	"31 weeks"	"31"	155
	"29 years"	"29"	"Twin"	"2"	"32 weeks"	"32"	248
	"29 years"	"29"	"Twin"	"2"	"33 weeks"	"33"	391
	"29 years"	"29"	"Twin"	"2"	"34 weeks"	"34"	616
	"29 years"	"29"	"Twin"	"2"	"35 weeks"	"35"	848
	"29 years"	"29"	"Twin"	"2"	"36 weeks"	"36"	1224
	"29 years"	"29"	"Twin"	"2"	"37 weeks"	"37"	1543
	"29 years"	"29"	"Twin"	"2"	"38 weeks"	"38"	1107
	"29 years"	"29"	"Twin"	"2"	"39 weeks"	"39"	255
	"29 years"	"29"	"Twin"	"2"	"40 weeks"	"40"	138
	"29 years"	"29"	"Twin"	"2"	"41 weeks"	"41"	83
	"29 years"	"29"	"Twin"	"2"	"42 weeks"	"42"	35
	"29 years"	"29"	"Twin"	"2"	"43 weeks"	"43"	23
	"29 years"	"29"	"Twin"	"2"	"44 weeks"	"44"	21
	"29 years"	"29"	"Twin"	"2"	"45 weeks"	"45"	11
	"29 years"	"29"	"Twin"	"2"	"46 weeks"	"46"	2
	"29 years"	"29"	"Twin"	"2"	"47 weeks"	"47"	5
	"29 years"	"29"	"Twin"	"2"	"Unknown or Not Stated"	"99"	9
	"29 years"	"29"	"Triplet"	"3"	"20 weeks"	"20"	6
	"29 years"	"29"	"Triplet"	"3"	"21 weeks"	"21"	3
	"29 years"	"29"	"Triplet"	"3"	"22 weeks"	"22"	1
	"29 years"	"29"	"Triplet"	"3"	"23 weeks"	"23"	3
	"29 years"	"29"	"Triplet"	"3"	"24 weeks"	"24"	2
	"29 years"	"29"	"Triplet"	"3"	"25 weeks"	"25"	6
	"29 years"	"29"	"Triplet"	"3"	"26 weeks"	"26"	3
	"29 years"	"29"	"Triplet"	"3"	"27 weeks"	"27"	9
	"29 years"	"29"	"Triplet"	"3"	"28 weeks"	"28"	6
	"29 years"	"29"	"Triplet"	"3"	"29 weeks"	"29"	9
	"29 years"	"29"	"Triplet"	"3"	"30 weeks"	"30"	9
	"29 years"	"29"	"Triplet"	"3"	"31 weeks"	"31"	31
	"29 years"	"29"	"Triplet"	"3"	"32 weeks"	"32"	24
	"29 years"	"29"	"Triplet"	"3"	"33 weeks"	"33"	30
	"29 years"	"29"	"Triplet"	"3"	"34 weeks"	"34"	33
	"29 years"	"29"	"Triplet"	"3"	"35 weeks"	"35"	3
	"29 years"	"29"	"Triplet"	"3"	"36 weeks"	"36"	7
	"29 years"	"29"	"Triplet"	"3"	"39 weeks"	"39"	4
	"29 years"	"29"	"Quadruplet"	"4"	"28 weeks"	"28"	4
	"29 years"	"29"	"Quadruplet"	"4"	"31 weeks"	"31"	3
	"29 years"	"29"	"Quadruplet"	"4"	"32 weeks"	"32"	8
	"30 years"	"30"	"Single"	"1"	"17 weeks"	"17"	11
	"30 years"	"30"	"Single"	"1"	"18 weeks"	"18"	21
	"30 years"	"30"	"Single"	"1"	"19 weeks"	"19"	38
	"30 years"	"30"	"Single"	"1"	"20 weeks"	"20"	53
	"30 years"	"30"	"Single"	"1"	"21 weeks"	"21"	59
	"30 years"	"30"	"Single"	"1"	"22 weeks"	"22"	78
	"30 years"	"30"	"Single"	"1"	"23 weeks"	"23"	115
	"30 years"	"30"	"Single"	"1"	"24 weeks"	"24"	135
	"30 years"	"30"	"Single"	"1"	"25 weeks"	"25"	183
	"30 years"	"30"	"Single"	"1"	"26 weeks"	"26"	204
	"30 years"	"30"	"Single"	"1"	"27 weeks"	"27"	225
	"30 years"	"30"	"Single"	"1"	"28 weeks"	"28"	328
	"30 years"	"30"	"Single"	"1"	"29 weeks"	"29"	398
	"30 years"	"30"	"Single"	"1"	"30 weeks"	"30"	536
	"30 years"	"30"	"Single"	"1"	"31 weeks"	"31"	719
	"30 years"	"30"	"Single"	"1"	"32 weeks"	"32"	961
	"30 years"	"30"	"Single"	"1"	"33 weeks"	"33"	1478
	"30 years"	"30"	"Single"	"1"	"34 weeks"	"34"	2752
	"30 years"	"30"	"Single"	"1"	"35 weeks"	"35"	4408
	"30 years"	"30"	"Single"	"1"	"36 weeks"	"36"	8657
	"30 years"	"30"	"Single"	"1"	"37 weeks"	"37"	21321
	"30 years"	"30"	"Single"	"1"	"38 weeks"	"38"	36097
	"30 years"	"30"	"Single"	"1"	"39 weeks"	"39"	73562
	"30 years"	"30"	"Single"	"1"	"40 weeks"	"40"	44522
	"30 years"	"30"	"Single"	"1"	"41 weeks"	"41"	18165
	"30 years"	"30"	"Single"	"1"	"42 weeks"	"42"	5648
	"30 years"	"30"	"Single"	"1"	"43 weeks"	"43"	2680
	"30 years"	"30"	"Single"	"1"	"44 weeks"	"44"	1387
	"30 years"	"30"	"Single"	"1"	"45 weeks"	"45"	792
	"30 years"	"30"	"Single"	"1"	"46 weeks"	"46"	468
	"30 years"	"30"	"Single"	"1"	"47 weeks"	"47"	342
